"Date of Sale (dd/mm/yyyy)","Address","Postal Code","County","Price (€)","Not Full Market Price","Description of Property","Property Size Description"
"29/06/2012","14 Shannonville, Ennis Road, Limerick","","Limerick","€155,000.00","No","Second-Hand Dwelling house /Apartment",""
"29/06/2012","2 PRIMROSE CRESCENT, THE PASTURES LOVE LANE, CHARLEVILLE","","Limerick","€125,000.00","No","Second-Hand Dwelling house /Apartment",""
"29/06/2012","46 Anglers Walk, Rhebogue","","Limerick","€125,000.00","No","Second-Hand Dwelling house /Apartment",""
"29/06/2012","5 Dromore Rise, Raheen Heights, Raheen","","Limerick","€205,000.00","No","Second-Hand Dwelling house /Apartment",""
"29/06/2012","7 The Paddocks, Bruee, Co. Limerick","","Limerick","€155,000.00","No","Second-Hand Dwelling house /Apartment",""
"29/06/2012","APARTMENT 101 STUDENT VILLAGE, CRATLOE WOOD","","Limerick","€26,500.00","No","Second-Hand Dwelling house /Apartment",""
"29/06/2012","Apartment 57 Student Village, Cratloe Wood","","Limerick","€26,500.00","No","Second-Hand Dwelling house /Apartment",""
"29/06/2012","APARTMENT 90 STUDENT VILLAGE, CRATLOE WOOD","","Limerick","€26,500.00","No","Second-Hand Dwelling house /Apartment",""
"29/06/2012","APARTMENT 93 STUDENT VILLAGE, CRATLOE WOOD","","Limerick","€26,500.00","No","Second-Hand Dwelling house /Apartment",""
"29/06/2012","APARTMENT 97 STUDENT VILLAGE, CRATLOE WOOD","","Limerick","€26,500.00","No","Second-Hand Dwelling house /Apartment",""
"30/06/2012","Enniscouch, Rathkeale","","Limerick","€90,000.00","No","Second-Hand Dwelling house /Apartment",""
"02/07/2012","8 Alphonsus Place, South Circular Road, Limerick","","Limerick","€91,000.00","No","Second-Hand Dwelling house /Apartment",""
"03/07/2012","13 Lansdowne Hall, O Callaghan Street","","Limerick","€72,000.00","No","Second-Hand Dwelling house /Apartment",""
"03/07/2012","3 Lanahrone House, Steamboat Quay","","Limerick","€50,000.00","No","Second-Hand Dwelling house /Apartment",""
"03/07/2012","Behenaugh, Kilbehenny","","Limerick","€139,000.00","No","Second-Hand Dwelling house /Apartment",""
"04/07/2012","10 Landsdowne Hall, O'Callaghan Strand, Limerick","","Limerick","€113,000.00","No","Second-Hand Dwelling house /Apartment",""
"04/07/2012","24 St. Mary's Terrace, Cappamore","","Limerick","€70,000.00","No","Second-Hand Dwelling house /Apartment",""
"04/07/2012","8 Landsdowne Hall, O'Callaghan Strand, Limerick","","Limerick","€115,000.00","No","Second-Hand Dwelling house /Apartment",""
"04/07/2012","Rooskeagh, Carrickerry, Athea","","Limerick","€150,000.00","No","Second-Hand Dwelling house /Apartment",""
"05/07/2012","4 MEADOWLEA, BALLYHAHIL","","Limerick","€70,000.00","No","Second-Hand Dwelling house /Apartment",""
"06/07/2012","48 Mungret Woods, Mungret","","Limerick","€100,000.00","No","Second-Hand Dwelling house /Apartment",""
"09/07/2012","1 FOXFIELD, ELLIS WOOD, KILLARNEY ROAD  ABBEYFEALE","","Limerick","€168,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"09/07/2012","Ballymorrisheen, Ardagh, Co. Limerick","","Limerick","€95,000.00","No","Second-Hand Dwelling house /Apartment",""
"10/07/2012","Deelis, North Circular Road, Limerick","","Limerick","€410,000.00","No","Second-Hand Dwelling house /Apartment",""
"11/07/2012","Farnane, Murroe","","Limerick","€182,000.00","No","Second-Hand Dwelling house /Apartment",""
